Date,Category,Author,Url,Title,Findings
7/23/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Baird et al.,https://journals.sagepub.com/doi/10.1177/08903344211030168,SARS-CoV-2 Antibodies Detected in Mother’s Milk Post-Vaccination,"Authors observed significantly elevated levels of SARS-CoV-2 specific IgG and IgA antibodies in human milk beginning approximately 7 days after the initial vaccine dose, with an IgG-dominant response. Maternal vaccination results in SARS-CoV-2 specific immunoglobulins in human milk that may be protective for infants."
7/30/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-AZD1222-2021.1,"Interim recommendations for use of the ChAdOx1-S [recombinant] vaccine against COVID-19  (AstraZeneca COVID-19 vaccine AZD1222 Vaxzevria™, SII COVISHIELD™)",AstraZeneca recommended (1) for lactating persons and permitted with qualifications (elevated risk of exposure & serious disease) (3) for pregnant persons.
8/9/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Zauche et al.,https://www.researchsquare.com/article/rs-798175/v1,"Receipt of mRNA COVID-19 vaccines preconception and during pregnancy and risk of self-reported spontaneous abortions, CDC v-safe COVID-19 vaccine pregnancy registry 2020-21","When compared to the expected range of SABs in recognized pregnancies, these data suggest receipt of an mRNA COVID-19 vaccine preconception or during pregnancy is not associated with an increased risk of SAB. These findings add to accumulating evidence that mRNA COVID-19 vaccines during pregnancy are safe."
8/9/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Blakeway et al.,https://www.ajog.org/article/S0002-9378(21)00873-5/fulltext,COVID-19 vaccination during pregnancy: coverage and safety,This study has contributed to the body of evidence that having COVID-19 vaccination in pregnancy does not alter perinatal outcomes.
8/12/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-FAQ-Breast_feeding-Vaccines-2021.1,"Frequently asked questions: COVID-19 vaccines and breastfeeding based on WHO interim recommendations, 12 August 2021","Vaccination recommended in lactating persons (Pfizer, Moderna, AstraZeneca, Janssen, Sinopharm, Sinovac)."
8/20/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Theiler et al.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8378017/#:~:text=CONCLUSION,increased%20pregnancy%20or%20delivery%20complications.",Pregnancy and birth outcomes after SARS-CoV-2 vaccination in pregnancy,"In this birth cohort, vaccinated pregnant women were less likely than unvaccinated pregnant patients to experience COVID-19 infection, and COVID-19 vaccination during pregnancy was not associated with increased pregnancy or delivery complications {late pregnancy vaccination}."
9/7/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Dagan et al.,https://www.nature.com/articles/s41591-021-01490-8,Effectiveness of the BNT162b2 mRNA COVID-19 vaccine in pregnancy,"The results of this study indicate that the BNT162b2 mRNA COVID-19 vaccine is highly effective in pregnant women for the variants circulating in Israel at the time of the study, with vaccine effectiveness that was comparable to that estimated in the general population."
9/8/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Kharbanda et al.,https://jamanetwork.com/journals/jama/fullarticle/2784193,Spotaneous abortion following COVID-19 vaccination during pregnancy,"Among women with spontaneous abortions, the odds of COVID-19 vaccine exposure were not increased in the prior 28 days compared with women with ongoing pregnancies."
9/8/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Zauche et al.,https://www.nejm.org/doi/10.1056/NEJMc2113891,Receipt of mRNA COVID-19 vaccines and risk of spontaneous abortions,Findings suggest that the risk of spontaneous abortion after mRNA Covid-19 vaccination either before conception or during pregnancy is consistent with the expected risk of spontaneous abortion; these findings add to the accumulating evidence about the safety of mRNA Covid-19 vaccination in pregnancy.
9/17/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Charepe et al.,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-021-04051-6,COVID-19 mRNA vaccine and antibody response in lactating women: a prospective cohort study,"All women showed immunity after vaccination with positive antibodies for IgM, IgA and IgG antibodies. The dominant serum antibody response was IgG. Modest levels of antibodies in breastmilk of lactating mothers were observed in this study, especially IgG in 42.9%."
9/18/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Nir et al.,https://www.ajogmfm.org/article/S2589-9333(21)00187-7/fulltext,Maternal-neonatal transfer of SARS-CoV-2 immunoglobulin G antibodies among parturient women treated with BNT162b2 messenger RNA vaccine during pregnancy,"The study demonstrated the efficient transfer of SARS-CoV-2 immunoglobulin G across the placenta in women, vaccinated with the BNT162b2 messenger RNA vaccine during pregnancy, to their neonates, with a positive correlation between maternal serum and cord blood antibody concentrations. In addition to maternal protection against COVID-19, the vaccine may also provide neonatal humoral immunity."
10/13/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Morgan et al.,https://journals.lww.com/greenjournal/Fulltext/2022/01000/Maternal_Outcomes_After_Severe_Acute_Respiratory.14.aspx,Maternal Outcomes After Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in Vaccinated Compared With Unvaccinated Pregnant Patients,study shows an association between SARS-CoV-2 vaccination and lower odds of severe or critical COVID-19 and COVID-19 of any severity in pregnant patients during the Delta variant–predominant fourth surge of SARS-CoV-2.
10/21/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-Sinovac-CoronaVac-2021.1,"Interim recommendations for use of the inactivated COVID-19 vaccine, CoronaVac, developed by Sinovac",Sinovac recommended (1) for lactating persons and permitted (2) for pregnant persons.
10/28/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-BIBP-2021.2,"Interim recommendations for use of the inactivated COVID-19 vaccine BIBP developed by China National Biotec Group (‎CNBG)‎, Sinopharm",Sinopharm recommended (1) for lactating persons and permitted (2) for pregnant persons.
11/3/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-bbv152-covaxin,Interim recommendations for use of the Bharat Biotech BBV152 COVAXIN® vaccine against COVID-19,Bharat recommended (1) for lactating persons and permitted (2) for pregnant persons.
11/18/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Magnus et al.,https://www.nejm.org/doi/10.1056/NEJMc2114466,Covid-19 Vaccination during Pregnancy and First-Trimester Miscarriage,Study found no evidence of an increased risk for early pregnancy loss after Covid-19 vaccination and adds to the findings from other reports supporting Covid-19 vaccination during pregnancy.
11/19/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/interim-recommendations-for-use-of-the-moderna-mrna-1273-vaccine-against-covid-19,Interim recommendations for use of the Moderna mRNA-1273 vaccine against COVID-19,Moderna recommended (1) for lactating persons and recommended (1) for pregnant persons.
11/19/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-BNT162b2-2021.1,"Interim recommendations for use of the Pfizer–BioNTech COVID-19 vaccine, BNT162b2, under Emergency Use Listing",Pfizer recommended (1) for lactating persons and recommended (1) for pregnant persons.
12/9/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-Ad26.COV2.S-2021.1,Interim recommendations for the use of the Janssen Ad26.COV2.S (COVID-19) vaccine,Janssen recommended (1) for lactating persons and permitted with qualifications (elevated risk of exposure & serious disease) (3) for pregnant persons.
12/20/2021,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-novavax-nvx-cov2373,Interim recommendations for use of the Novavax NVX-CoV2373 vaccine against COVID-19,Novavax recommended (1) for lactating persons and permitted with qualifications (elevated risk of exposure) (3) for pregnant persons.
